"minute","second","possession","under_pressure","out","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","clearance.left_foot","clearance.right_foot","clearance.head","clearance.aerial_won","clearance.body_part.id","clearance.body_part.name","match_id","location_x","location_y"
69,2,110,TRUE,NA,772,"Spain",2,"From Corner",768,"England",34526,"Marc Guehi",5,"Left Center Back",NA,NA,TRUE,TRUE,37,"Head",3943043,"7.2","47.1"
69,4,110,TRUE,NA,772,"Spain",2,"From Corner",768,"England",99174,"Kobbie Mainoo",9,"Right Defensive Midfield",NA,NA,TRUE,NA,37,"Head",3943043,"14","52.3"
70,2,111,TRUE,NA,768,"England",7,"From Goal Kick",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",TRUE,NA,NA,NA,38,"Left Foot",3943043,"16.4","23.9"
74,14,120,TRUE,TRUE,768,"England",1,"Regular Play",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",NA,TRUE,NA,NA,40,"Right Foot",3943043,"8.1","34.5"
77,31,123,TRUE,NA,772,"Spain",7,"From Goal Kick",768,"England",3205,"Kyle Walker",2,"Right Back",NA,NA,TRUE,NA,37,"Head",3943043,"7.8","47.7"
77,40,123,TRUE,TRUE,772,"Spain",7,"From Goal Kick",768,"England",3244,"John Stones",3,"Right Center Back",NA,NA,TRUE,TRUE,37,"Head",3943043,"6.2","46.5"
78,18,124,TRUE,NA,772,"Spain",2,"From Corner",768,"England",30714,"Jude Bellingham",9,"Right Defensive Midfield",NA,NA,TRUE,NA,37,"Head",3943043,"8","44.8"
78,23,124,TRUE,TRUE,772,"Spain",2,"From Corner",768,"England",39461,"Cole Palmer",19,"Center Attacking Midfield",TRUE,NA,NA,NA,38,"Left Foot",3943043,"15.3","34.5"
81,15,129,TRUE,TRUE,772,"Spain",1,"Regular Play",768,"England",34526,"Marc Guehi",5,"Left Center Back",TRUE,NA,NA,NA,38,"Left Foot",3943043,"14.2","38.5"
84,35,134,TRUE,NA,772,"Spain",2,"From Corner",768,"England",3244,"John Stones",3,"Right Center Back",NA,NA,TRUE,NA,37,"Head",3943043,"4","40.2"
84,36,134,TRUE,NA,772,"Spain",2,"From Corner",768,"England",22084,"Bukayo Saka",17,"Right Wing",NA,TRUE,NA,NA,40,"Right Foot",3943043,"12.8","20.7"
87,59,137,TRUE,TRUE,768,"England",9,"From Kick Off",772,"Spain",5202,"José Ignacio Fernández Iglesias",3,"Right Center Back",NA,TRUE,NA,NA,40,"Right Foot",3943043,"10","40.8"
90,50,142,TRUE,NA,768,"England",7,"From Goal Kick",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",NA,NA,TRUE,NA,37,"Head",3943043,"40","26"
92,43,146,TRUE,NA,768,"England",3,"From Free Kick",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",NA,NA,TRUE,TRUE,37,"Head",3943043,"14.3","21.1"
3,44,11,TRUE,NA,771,"France",1,"Regular Play",771,"France",4445,"Jules Koundé",2,"Right Back",NA,NA,NA,NA,70,"Other",3942752,"38.7","75.9"
6,55,16,TRUE,NA,771,"France",4,"From Throw In",772,"Spain",17620,"Marc Cucurella Saseta",6,"Left Back",TRUE,NA,NA,NA,38,"Left Foot",3942752,"5.4","11.4"
10,52,20,TRUE,NA,772,"Spain",1,"Regular Play",771,"France",8519,"Dayotchanculle Upamecano",3,"Right Center Back",TRUE,NA,NA,NA,38,"Left Foot",3942752,"8.1","37.1"
10,57,20,TRUE,NA,772,"Spain",1,"Regular Play",771,"France",17592,"William Saliba",5,"Left Center Back",NA,TRUE,NA,NA,40,"Right Foot",3942752,"14.3","33.1"
11,48,20,TRUE,NA,772,"Spain",1,"Regular Play",771,"France",17592,"William Saliba",5,"Left Center Back",NA,TRUE,NA,NA,40,"Right Foot",3942752,"7.2","44.1"
18,20,28,TRUE,TRUE,771,"France",1,"Regular Play",772,"Spain",5202,"José Ignacio Fernández Iglesias",3,"Right Center Back",TRUE,NA,NA,NA,38,"Left Foot",3942752,"5.9","41.7"
20,11,33,TRUE,NA,772,"Spain",7,"From Goal Kick",771,"France",17592,"William Saliba",5,"Left Center Back",TRUE,NA,NA,NA,38,"Left Foot",3942752,"28.6","36.5"
22,41,36,TRUE,NA,772,"Spain",2,"From Corner",771,"France",8519,"Dayotchanculle Upamecano",3,"Right Center Back",NA,NA,TRUE,TRUE,37,"Head",3942752,"12.2","38.5"
24,20,41,TRUE,NA,772,"Spain",4,"From Throw In",771,"France",17592,"William Saliba",5,"Left Center Back",NA,NA,TRUE,NA,37,"Head",3942752,"7","38.5"
25,51,43,TRUE,NA,771,"France",9,"From Kick Off",772,"Spain",5202,"José Ignacio Fernández Iglesias",3,"Right Center Back",NA,TRUE,NA,NA,40,"Right Foot",3942752,"44.5","47.7"
26,55,45,TRUE,TRUE,771,"France",4,"From Throw In",772,"Spain",6821,"Jesús Navas González",2,"Right Back",NA,TRUE,NA,NA,40,"Right Foot",3942752,"9.8","46.7"
27,39,46,TRUE,NA,771,"France",4,"From Throw In",772,"Spain",6821,"Jesús Navas González",2,"Right Back",NA,TRUE,NA,NA,40,"Right Foot",3942752,"8.1","46.3"
36,27,54,TRUE,NA,772,"Spain",2,"From Corner",771,"France",22097,"Randal Kolo Muani",23,"Center Forward",NA,NA,TRUE,NA,37,"Head",3942752,"2.9","47"
38,6,56,TRUE,NA,771,"France",2,"From Corner",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",NA,NA,TRUE,NA,37,"Head",3942752,"7.5","37.5"
38,16,56,TRUE,NA,771,"France",2,"From Corner",772,"Spain",6765,"Rodrigo Hernández Cascante",9,"Right Defensive Midfield",NA,NA,TRUE,NA,37,"Head",3942752,"9.5","30.3"
39,14,57,TRUE,TRUE,771,"France",3,"From Free Kick",772,"Spain",6821,"Jesús Navas González",2,"Right Back",NA,NA,TRUE,NA,37,"Head",3942752,"2.6","46.6"
41,34,61,TRUE,NA,771,"France",8,"From Keeper",772,"Spain",6821,"Jesús Navas González",2,"Right Back",NA,TRUE,NA,NA,40,"Right Foot",3942752,"11.1","45"
43,22,64,TRUE,NA,771,"France",3,"From Free Kick",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward",NA,NA,TRUE,TRUE,37,"Head",3942752,"8.2","36"
43,25,64,TRUE,NA,771,"France",3,"From Free Kick",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",NA,NA,TRUE,TRUE,37,"Head",3942752,"12","24.9"
43,26,64,TRUE,NA,771,"France",3,"From Free Kick",772,"Spain",6655,"Fabián Ruiz Peña",11,"Left Defensive Midfield",NA,NA,TRUE,NA,37,"Head",3942752,"17.2","27"
44,2,64,TRUE,NA,771,"France",3,"From Free Kick",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",NA,NA,TRUE,NA,37,"Head",3942752,"9.2","32.7"
46,6,73,TRUE,TRUE,771,"France",8,"From Keeper",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",TRUE,NA,NA,NA,38,"Left Foot",3942752,"19.5","3.7"
48,45,78,TRUE,NA,772,"Spain",4,"From Throw In",771,"France",4445,"Jules Koundé",2,"Right Back",NA,NA,TRUE,NA,37,"Head",3942752,"6.3","44.9"
49,34,78,TRUE,TRUE,772,"Spain",4,"From Throw In",771,"France",17592,"William Saliba",5,"Left Center Back",NA,TRUE,NA,NA,40,"Right Foot",3942752,"5.3","42.3"
52,13,84,TRUE,TRUE,771,"France",1,"Regular Play",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",TRUE,NA,NA,NA,38,"Left Foot",3942752,"8","33"
54,3,89,TRUE,NA,771,"France",3,"From Free Kick",772,"Spain",6765,"Rodrigo Hernández Cascante",9,"Right Defensive Midfield",NA,TRUE,NA,NA,40,"Right Foot",3942752,"13.7","31.6"
54,22,89,TRUE,NA,771,"France",3,"From Free Kick",772,"Spain",5202,"José Ignacio Fernández Iglesias",3,"Right Center Back",NA,NA,TRUE,NA,37,"Head",3942752,"8.4","43.3"
59,34,99,TRUE,NA,772,"Spain",3,"From Free Kick",772,"Spain",6765,"Rodrigo Hernández Cascante",9,"Right Defensive Midfield",NA,TRUE,NA,NA,40,"Right Foot",3942752,"2.5","32.8"
69,59,112,TRUE,NA,772,"Spain",4,"From Throw In",771,"France",6704,"Theo Bernard François Hernández",6,"Left Back",NA,NA,TRUE,TRUE,37,"Head",3942752,"53","5.8"
70,9,113,TRUE,NA,771,"France",1,"Regular Play",772,"Spain",41542,"Daniel Vivian Moreno",3,"Right Center Back",NA,TRUE,NA,NA,40,"Right Foot",3942752,"9.3","54"
70,13,114,TRUE,NA,772,"Spain",1,"Regular Play",772,"Spain",41542,"Daniel Vivian Moreno",3,"Right Center Back",NA,TRUE,NA,NA,40,"Right Foot",3942752,"15.9","31"
71,44,117,TRUE,TRUE,771,"France",4,"From Throw In",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",TRUE,NA,NA,NA,38,"Left Foot",3942752,"6.4","57.3"
72,18,118,TRUE,NA,771,"France",4,"From Throw In",772,"Spain",6655,"Fabián Ruiz Peña",11,"Left Defensive Midfield",TRUE,NA,NA,NA,38,"Left Foot",3942752,"8.9","32"
72,53,119,TRUE,NA,771,"France",2,"From Corner",772,"Spain",5202,"José Ignacio Fernández Iglesias",2,"Right Back",NA,NA,TRUE,TRUE,37,"Head",3942752,"12.1","49.1"
74,39,120,TRUE,NA,772,"Spain",1,"Regular Play",771,"France",8519,"Dayotchanculle Upamecano",3,"Right Center Back",NA,NA,TRUE,NA,37,"Head",3942752,"40.5","24.8"
76,16,122,TRUE,NA,772,"Spain",7,"From Goal Kick",771,"France",8519,"Dayotchanculle Upamecano",3,"Right Center Back",NA,NA,TRUE,TRUE,37,"Head",3942752,"55.4","53.2"
79,50,129,TRUE,NA,771,"France",2,"From Corner",772,"Spain",6655,"Fabián Ruiz Peña",11,"Left Defensive Midfield",NA,TRUE,NA,NA,40,"Right Foot",3942752,"9.9","45"
89,15,143,TRUE,NA,772,"Spain",3,"From Free Kick",771,"France",10481,"Aurélien Djani Tchouaméni",9,"Right Defensive Midfield",NA,NA,TRUE,NA,37,"Head",3942752,"8.7","42.1"
90,2,144,TRUE,NA,772,"Spain",2,"From Corner",771,"France",3604,"Olivier Giroud",22,"Right Center Forward",NA,NA,TRUE,NA,37,"Head",3942752,"2.6","45.6"
95,16,152,TRUE,NA,772,"Spain",7,"From Goal Kick",771,"France",4445,"Jules Koundé",2,"Right Back",NA,NA,TRUE,TRUE,37,"Head",3942752,"46.1","75"
10,11,14,TRUE,NA,770,"Germany",3,"From Free Kick",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back",TRUE,NA,NA,NA,38,"Left Foot",3942226,"32.3","59.8"
18,11,24,TRUE,TRUE,770,"Germany",7,"From Goal Kick",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",TRUE,NA,NA,NA,38,"Left Foot",3942226,"1.2","26.1"
19,35,27,TRUE,NA,770,"Germany",1,"Regular Play",772,"Spain",22128,"Robin Aime Robert Le Normand",3,"Right Center Back",NA,NA,TRUE,NA,37,"Head",3942226,"15.2","39.7"
19,37,27,TRUE,NA,770,"Germany",1,"Regular Play",772,"Spain",6765,"Rodrigo Hernández Cascante",10,"Center Defensive Midfield",NA,NA,TRUE,NA,37,"Head",3942226,"29.1","36.8"
25,41,38,TRUE,TRUE,770,"Germany",3,"From Free Kick",772,"Spain",4353,"Aymeric Laporte",5,"Left Center Back",NA,NA,TRUE,NA,37,"Head",3942226,"11.4","27.9"
28,4,41,TRUE,NA,772,"Spain",3,"From Free Kick",770,"Germany",12034,"David Raum",6,"Left Back",NA,NA,TRUE,TRUE,37,"Head",3942226,"6.6","41.2"
28,5,41,TRUE,NA,772,"Spain",3,"From Free Kick",770,"Germany",5574,"Toni Kroos",11,"Left Defensive Midfield",NA,NA,TRUE,TRUE,37,"Head",3942226,"11.2","31.9"
32,40,47,TRUE,NA,770,"Germany",1,"Regular Play",770,"Germany",8221,"Jonathan Tah",5,"Left Center Back",NA,TRUE,NA,NA,40,"Right Foot",3942226,"31.8","30.5"
